# time_iso,lat_deg,lon_deg,alt_m,he_#/m3,o_#/m3,n2_#/m3,o2_#/m3,ar_#/m3,h_#/m3,n_#/m3,mass_kg_m3,texo_k,talt_k
2025-08-17T00:00:00,0.0,0.0,150000.0,12306879000000.0,1.3059642e+16,2.1485952e+16,1785669200000000.0,43828015000000.0,841095840000.0,10168388000000.0,1.4445422e-09,644.4115,644.4115
2025-08-17T00:00:00,0.0,0.0,200000.0,6860448500000.0,3163676400000000.0,2100114300000000.0,103351430000000.0,1669644300000.0,248932930000.0,22538554000000.0,1.8791568e-10,812.28094,812.28094
2025-08-17T00:00:00,0.0,0.0,250000.0,4977381600000.0,1057397660000000.0,319006300000000.0,11713353000000.0,115072434000.0,180437390000.0,11233097000000.0,4.385653e-11,850.4285,850.4285
2025-08-17T00:00:00,0.0,0.0,300000.0,3818949000000.0,381202640000000.0,53875256000000.0,1533327800000.0,9143240000.0,161846400000.0,4718045700000.0,1.2851234e-11,859.2935,859.2935
2025-08-17T00:00:00,0.0,0.0,350000.0,2973853300000.0,141399280000000.0,9507296000000.0,211416510000.0,771339600.0,150910350000.0,1984900400000.0,4.2763575e-12,861.3992,861.3992
2025-08-17T00:00:00,0.0,0.0,400000.0,2330005300000.0,53392735000000.0,1728549700000.0,30161453000.0,67850360.0,141786640000.0,846336300000.0,1.5359624e-12,861.91016,861.91016
2025-08-17T00:00:00,0.0,0.0,450000.0,1833162200000.0,20468336000000.0,322592600000.0,4433187000.0,6193888.0,133500160000.0,365604340000.0,5.8001515e-13,862.03674,862.03674
2025-08-17T00:00:00,0.0,0.0,500000.0,1447537900000.0,7959125000000.0,61718073000.0,670337600.0,585780.25,125839150000.0,159912900000.0,2.2801265e-13,862.0688,862.0688
2025-08-17T00:00:00,0.0,0.0,550000.0,1147005000000.0,3137852400000.0,12096119000.0,104192056.0,57337.5,118725390000.0,70794370000.0,9.351337e-14,862.077,862.077
2025-08-17T00:00:00,0.0,0.0,600000.0,911933800000.0,1253851100000.0,2427222800.0,16636492.0,5804.031,112109450000.0,31712432000.0,4.0518885e-14,862.0792,862.0792
2025-08-17T00:01:00,0.0,0.0,150000.0,12308621000000.0,1.3053144e+16,2.1514095e+16,1786058500000000.0,43786424000000.0,841373650000.0,10157162000000.0,1.4456965e-09,644.62976,644.62976
2025-08-17T00:01:00,0.0,0.0,200000.0,6864321400000.0,3163668600000000.0,2104251800000000.0,103398335000000.0,1667654900000.0,249159840000.0,22525684000000.0,1.8811003e-10,812.34283,812.34283
