#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)        Tn_(K)     F10.7_curr
      0.000000000       0.0000000     143.0400     150.0000      150.0000      600.0000   0.00000 -100.15223   0.033352109    0.0000000    0.0000e+00        0.0000        116.000
      0.000347222       0.0083333     143.1983     150.1407      150.0000      600.0000   1.65234  -98.97604   0.033352109    2.0947850    0.0000e+00        0.0000        116.000
      0.000694444       0.0166667     143.6729     150.5624      150.0000      600.0000   3.30365  -97.79783   0.033352109    4.1893892    0.0000e+00        0.0000        116.000
      0.001041667       0.0250000     144.4628     151.2647      150.0000      600.0000   4.95289  -96.61556   0.033352109    6.2836325    0.0000e+00        0.0000        116.000
      0.001388889       0.0333333     145.5667     152.2465      150.0000      600.0000   6.59901  -95.42718   0.033352109    8.3773350    0.0000e+00        0.0000        116.000
      0.001736111       0.0416667     146.9823     153.5065      150.0000      600.0000   8.24096  -94.23061   0.033352109   10.4703181    0.0000e+00        0.0000        116.000
      0.002083333       0.0500000     148.7071     155.0428      150.0000      600.0000   9.87767  -93.02375   0.033352109   12.5624044    0.0000e+00        0.0000        116.000
      0.002430556       0.0583333     150.7377     156.8532      150.0000      600.0000  11.50804  -91.80446   0.033352109   14.6534179    0.0000e+00        0.0000        116.000
      0.002777778       0.0666667     153.0703     158.9352      150.0000      600.0000  13.13096  -90.57054   0.033352109   16.7431849    0.0000e+00        0.0000        116.000
      0.003125000       0.0750000     155.7006     161.2859      150.0000      600.0000  14.74528  -89.31973   0.033352109   18.8315337    0.0000e+00        0.0000        116.000
      0.003472222       0.0833333     158.6238     163.9019      150.0000      600.0000  16.34983  -88.04974   0.033352109   20.9182952    0.0000e+00        0.0000        116.000
      0.003819444       0.0916667     161.8343     166.7796      150.0000      600.0000  17.94339  -86.75818   0.033352109   23.0033030    0.0000e+00        0.0000        116.000
      0.004166667       0.1000000     165.3262     169.9149      150.0000      600.0000  19.52470  -85.44259   0.033352109   25.0863938    0.0000e+00        0.0000        116.000
      0.004513889       0.1083333     169.0933     173.3035      150.0000      600.0000  21.09244  -84.10043   0.033352109   27.1674079    0.0000e+00        0.0000        116.000
      0.004861111       0.1166667     173.1286     176.9405      150.0000      600.0000  22.64525  -82.72908   0.033352109   29.2461890    0.0000e+00        0.0000        116.000
      0.005208333       0.1250000     177.4250     180.8210      150.0000      600.0000  24.18170  -81.32581   0.033352109   31.3225847    0.0000e+00        0.0000        116.000
      0.005555556       0.1333333     181.9746     184.9396      150.0000      600.0000  25.70029  -79.88781   0.033352109   33.3964468    0.0000e+00        0.0000        116.000
      0.005902778       0.1416667     186.7696     189.2905      150.0000      600.0000  27.19944  -78.41216   0.033352109   35.4676311    0.0000e+00        0.0000        116.000
      0.006250000       0.1500000     191.8015     193.8678      150.0000      600.0000  28.67749  -76.89587   0.033352109   37.5359985    0.0000e+00        0.0000        116.000
      0.006597222       0.1583333     197.0615     198.6652      150.0000      600.0000  30.13270  -75.33583   0.033352109   39.6014140    0.0000e+00        0.0000        116.000
      0.006944444       0.1666667     202.5408     203.6762      150.0000      600.0000  31.56320  -73.72886   0.033352109   41.6637480    0.0000e+00        0.0000        116.000
      0.007291667       0.1750000     208.2298     208.8939      150.0000      600.0000  32.96704  -72.07172   0.033352109   43.7228758    0.0000e+00        0.0000        116.000
      0.007638889       0.1833333     214.1193     214.3114      150.0000      600.0000  34.34215  -70.36110   0.033352109   45.7786778    0.0000e+00        0.0000        116.000
      0.007986111       0.1916667     220.1993     219.9212      150.0000      600.0000  35.68633  -68.59367   0.033352109   47.8310400    0.0000e+00        0.0000        116.000
      0.008333333       0.2000000     226.4599     225.7158      150.0000      600.0000  36.99726  -66.76613   0.033352109   49.8798538    0.0000e+00        0.0000        116.000
      0.008680556       0.2083333     232.8911     231.6877      150.0000      600.0000  38.27247  -64.87517   0.033352109   51.9250161    0.0000e+00        0.0000        116.000
      0.009027778       0.2166667     239.4826     237.8287      150.0000      600.0000  39.50938  -62.91764   0.033352109   53.9664296    0.0000e+00        0.0000        116.000
      0.009375000       0.2250000     246.2240     244.1309      150.0000      600.0000  40.70524  -60.89052   0.033352109   56.0040029    0.0000e+00        0.0000        116.000
      0.009722222       0.2333333     253.1049     250.5859      150.0000      600.0000  41.85720  -58.79104   0.033352109   58.0376503    0.0000e+00        0.0000        116.000
      0.010069444       0.2416667     260.1149     257.1854      150.0000      600.0000  42.96226  -56.61675   0.033352109   60.0672920    0.0000e+00        0.0000        116.000
      0.010416667       0.2500000     267.2433     263.9207      150.0000      600.0000  44.01730  -54.36564   0.033352109   62.0928542    0.0000e+00        0.0000        116.000
      0.010763889       0.2583333     274.4796     270.7833      150.0000      600.0000  45.01909  -52.03625   0.033352109   64.1142691    0.0000e+00        0.0000        116.000
      0.011111111       0.2666667     281.8134     277.7642      150.0000      600.0000  45.96435  -49.62780   0.033352109   66.1314749    0.0000e+00        0.0000        116.000
      0.011458333       0.2750000     289.2340     284.8546      150.0000      600.0000  46.84972  -47.14029   0.033352109   68.1444157    0.0000e+00        0.0000        116.000
      0.011805556       0.2833333     296.7311     292.0456      150.0000      600.0000  47.67183  -44.57469   0.033352109   70.1530417    0.0000e+00        0.0000        116.000
