#      MET_(days)     MET_(hours)  Alt_J2_(km)  Alt_mer(km)  Perigee_(km)   Apogee_(km)  Latitude  Longitude  Eccentricity   TrueAnomly  Atm_Drag_(N)
      0.000000000       0.0000000     143.0400     150.0000      150.0000      600.0000   0.00000 -100.15223   0.033352109    0.0000000    0.0000e+00
      0.000578704       0.0138889     143.4487     150.3906      150.0000      599.8533   1.67603  -97.29213   0.033341605    3.4916877    1.6017e-01
      0.001157407       0.0277778     144.6729     151.5606      149.9997      599.7128   3.34680  -94.42761   0.033331557    6.9835200    1.5094e-01
      0.001736111       0.0416667     146.7069     153.5053      149.9991      599.5842   5.00706  -91.55424   0.033322391   10.4744792    1.3629e-01
      0.002314815       0.0555556     149.5413     156.2167      149.9980      599.4713   6.65153  -88.66769   0.033314386   13.9634797    1.1842e-01
      0.002893519       0.0694444     153.1634     159.6840      149.9964      599.3759   8.27495  -85.76372   0.033307664   17.4494331    9.9501e-02
      0.003472222       0.0833333     157.5570     163.8934      149.9945      599.2976   9.87204  -82.83822   0.033302204   20.9313050    8.1380e-02
      0.004050926       0.0972222     162.7026     168.8283      149.9924      599.2351  11.43751  -79.88730   0.033297891   24.4081418    6.5067e-02
      0.004629630       0.1111111     168.5777     174.4694      149.9901      599.1863  12.96607  -76.90729   0.033294567   27.8790788    5.1064e-02
      0.005208333       0.1250000     175.1566     180.7948      149.9879      599.1489  14.45242  -73.89480   0.033292058   31.3433358    3.9462e-02
      0.005787037       0.1388889     182.4112     187.7800      149.9857      599.1206  15.89130  -70.84681   0.033290198   34.8002062    3.0100e-02
      0.006365741       0.1527778     190.3105     195.3982      149.9837      599.0996  17.27744  -67.76070   0.033288842   38.2490460    2.2703e-02
      0.006944444       0.1666667     198.8213     203.6204      149.9820      599.0841  18.60566  -64.63433   0.033287869   41.6892645    1.6956e-02
      0.007523148       0.1805556     207.9083     212.4154      149.9804      599.0729  19.87083  -61.46614   0.033287181   45.1203180    1.2556e-02
      0.008101852       0.1944444     217.5342     221.7503      149.9791      599.0648  21.06794  -58.25514   0.033286701   48.5417056    9.2283e-03
      0.008680556       0.2083333     227.6600     231.5903      149.9780      599.0590  22.19212  -55.00107   0.033286371   51.9529670    6.7408e-03
      0.009259259       0.2222222     238.2455     241.8991      149.9771      599.0549  23.23867  -51.70441   0.033286147   55.3536813    4.8999e-03
      0.009837963       0.2361111     249.2492     252.6390      149.9764      599.0520  24.20316  -48.36642   0.033285997   58.7434673    3.5494e-03
      0.010416667       0.2500000     260.6284     263.7711      149.9758      599.0500  25.08144  -44.98923   0.033285897   62.1219838    2.5659e-03
      0.010995370       0.2638889     272.3400     275.2554      149.9753      599.0486  25.86969  -41.57580   0.033285832   65.4889302    1.8536e-03
      0.011574074       0.2777778     284.3404     287.0511      149.9749      599.0476  26.56452  -38.12994   0.033285790   68.8440479    1.3399e-03
      0.012152778       0.2916667     296.5854     299.1169      149.9746      599.0469  27.16297  -34.65626   0.033285764   72.1871201    9.7034e-04
      0.012731481       0.3055556     309.0309     311.4106      149.9744      599.0464  27.66263  -31.16013   0.033285748   75.5179729    7.0471e-04
      0.013310185       0.3194444     321.6329     323.8901      149.9742      599.0461  28.06160  -27.64756   0.033285738   78.8364754    5.1376e-04
      0.013888889       0.3333333     334.3477     336.5129      149.9741      599.0458  28.35862  -24.12507   0.033285732   82.1425394    3.7628e-04
